=== Podsumowanie ===
=== Parametry wejściowe ===
Liczba odwołań: 50
Maksymalny numer strony: 15
Liczba ramek: 10
Sekwencja odwołań: 5 12 4 8 15 13 9 0 15 6 4 3 5 15 2 3 0 7 1 10 4 6 4 11 0 15 5 9 3 13 1 4 7 12 3 7 7 15 10 5 10 7 3 0 5 12 11 7 3 3


=== Wyniki FIFO ===
FIFO Page Replacement:
Reference | Frames | Fault
       15 | [12 3 7 10 4 11 15 5 9 13 ] | 0
       10 | [12 3 7 10 4 11 15 5 9 13 ] | 0
        5 | [12 3 7 10 4 11 15 5 9 13 ] | 0
       10 | [12 3 7 10 4 11 15 5 9 13 ] | 0
        7 | [12 3 7 10 4 11 15 5 9 13 ] | 0
        3 | [12 3 7 10 4 11 15 5 9 13 ] | 0
        0 | [12 3 7 0 4 11 15 5 9 13 ] | 1
        5 | [12 3 7 0 4 11 15 5 9 13 ] | 0
       12 | [12 3 7 0 4 11 15 5 9 13 ] | 0
       11 | [12 3 7 0 4 11 15 5 9 13 ] | 0
        7 | [12 3 7 0 4 11 15 5 9 13 ] | 0
        3 | [12 3 7 0 4 11 15 5 9 13 ] | 0
        3 | [12 3 7 0 4 11 15 5 9 13 ] | 0
Total Page Faults: 24
Uwaga: 'bc' nie jest zainstalowane, pokazuję tylko wartości bezwzględne
  - Trafienia (hits): 26/50
  - Błędy (misses): 24/50

=== Wyniki LRU ===
LRU Page Replacement:
Reference | Frames | Fault
----------|--------|------
        5 | [5 ] | 1
       12 | [5 12 ] | 1
        4 | [5 12 4 ] | 1
        8 | [5 12 4 8 ] | 1
       15 | [5 12 4 8 15 ] | 1
       13 | [5 12 4 8 15 13 ] | 1
        9 | [5 12 4 8 15 13 9 ] | 1
        0 | [5 12 4 8 15 13 9 0 ] | 1
       15 | [5 12 4 8 15 13 9 0 ] | 0
        6 | [5 12 4 8 15 13 9 0 6 ] | 1
        4 | [5 12 4 8 15 13 9 0 6 ] | 0
        3 | [5 12 4 8 15 13 9 0 6 3 ] | 1
        5 | [5 12 4 8 15 13 9 0 6 3 ] | 0
       15 | [5 12 4 8 15 13 9 0 6 3 ] | 0
        2 | [5 2 4 8 15 13 9 0 6 3 ] | 1
        3 | [5 2 4 8 15 13 9 0 6 3 ] | 0
        0 | [5 2 4 8 15 13 9 0 6 3 ] | 0
        7 | [5 2 4 7 15 13 9 0 6 3 ] | 1
        1 | [5 2 4 7 15 1 9 0 6 3 ] | 1
       10 | [5 2 4 7 15 1 10 0 6 3 ] | 1
        4 | [5 2 4 7 15 1 10 0 6 3 ] | 0
        6 | [5 2 4 7 15 1 10 0 6 3 ] | 0
        4 | [5 2 4 7 15 1 10 0 6 3 ] | 0
       11 | [11 2 4 7 15 1 10 0 6 3 ] | 1
        0 | [11 2 4 7 15 1 10 0 6 3 ] | 0
       15 | [11 2 4 7 15 1 10 0 6 3 ] | 0
        5 | [11 5 4 7 15 1 10 0 6 3 ] | 1
        9 | [11 5 4 7 15 1 10 0 6 9 ] | 1
        3 | [11 5 4 3 15 1 10 0 6 9 ] | 1
       13 | [11 5 4 3 15 13 10 0 6 9 ] | 1
        1 | [11 5 4 3 15 13 1 0 6 9 ] | 1
        4 | [11 5 4 3 15 13 1 0 6 9 ] | 0
        7 | [11 5 4 3 15 13 1 0 7 9 ] | 1
       12 | [12 5 4 3 15 13 1 0 7 9 ] | 1
        3 | [12 5 4 3 15 13 1 0 7 9 ] | 0
        7 | [12 5 4 3 15 13 1 0 7 9 ] | 0
        7 | [12 5 4 3 15 13 1 0 7 9 ] | 0
       15 | [12 5 4 3 15 13 1 0 7 9 ] | 0
       10 | [12 5 4 3 15 13 1 10 7 9 ] | 1
        5 | [12 5 4 3 15 13 1 10 7 9 ] | 0
       10 | [12 5 4 3 15 13 1 10 7 9 ] | 0
        7 | [12 5 4 3 15 13 1 10 7 9 ] | 0
        3 | [12 5 4 3 15 13 1 10 7 9 ] | 0
        0 | [12 5 4 3 15 13 1 10 7 0 ] | 1
        5 | [12 5 4 3 15 13 1 10 7 0 ] | 0
       12 | [12 5 4 3 15 13 1 10 7 0 ] | 0
       11 | [12 5 4 3 15 11 1 10 7 0 ] | 1
        7 | [12 5 4 3 15 11 1 10 7 0 ] | 0
        3 | [12 5 4 3 15 11 1 10 7 0 ] | 0
        3 | [12 5 4 3 15 11 1 10 7 0 ] | 0
Total Page Faults: 25
Uwaga: 'bc' nie jest zainstalowane, pokazuję tylko wartości bezwzględne
  - Trafienia (hits): 25/50
  - Błędy (misses): 25/50

